@area,可住地面積１k�F当たり人口密度,昼夜間人口比率,外国人人口（人口１０万人当たり）,１５歳未満人口割合,１５〜６４歳人口割合,６５歳以上人口割合,未婚者割合（15歳以上人口）,人口増減率,転入超過率,転入率,転出率,核家族世帯割合,高齢夫婦のみの世帯の割合,高齢単身世帯の割合,総面積（都道府県面積に占める割合）,可住地面積割合,商業年間商品販売額［卸売業＋小売業］（従業者１人当たり）,商業年間商品販売額［卸売業＋小売業］（事業所当たり）,課税対象所得（納税義務者１人当たり）,標準財政規模（市町村財政）,小学校数（可住地面積100k�F当たり）,中学校数（可住地面積100k�F当たり）,高等学校数（可住地面積100k�F当たり）,就業者比率,第１次産業就業者比率（対就業者）,第２次産業就業者比率（対就業者）,第３次産業就業者比率（対就業者）,第２次産業及び第３次産業就業者比率（対就業者）,完全失業率,他市区町村への通勤者比率,他市区町村からの通勤者比率,高齢就業者割合［６５歳以上］,公民館数（人口100万人当たり）,図書館数（人口100万人当たり）,持ち家比率,空き家比率（対総住宅数）,１住宅当たりの延べ面積,小売店数（事業所・企業統計調査結果）（人口千人当たり）,飲食店数（事業所・企業統計調査結果）（人口千人当たり）,大型小売店数（事業所・企業統計調査結果）（人口10万人当たり）,百貨店数（事業所・企業統計調査結果）（人口10万人当たり）,一般病院数（人口10万人当たり）,一般診療所数（人口10万人当たり）,一般病院数（可住地面積100k�F当たり）,一般診療所数（可住地面積100k�F当たり）,介護老人福祉施設（65歳以上人口10万人当たり）
43507,383.5,91.5,313.6,13.172,47.267,39.561,15.99587,-7.19,-2.78,2.33,5.11,51.34,16.99,18.46,2.58,6.866666667,787.7,20.4,2251.6,1743540,19.43333333,9.713333333,0,95.917,29.42,20.25,50.33,70.58,4.1,38.8,25.8,23.56,9856.6,0,,,,8.735,3.36,0,0,0,134.4,0,34.84,113.3
43510,193.3,91.8,223.8,12.31,49.754,37.936,18.03781,-9.44,-1.39,2.66,4.05,51.97,15.61,11.27,1.28,25.8,1777.8,98.5,2203.983333,2141302,8.21,4.11,0,97,24.26,22.67,52.94,75.61,3,49.3,37.8,29.26,223.8,0,,,,7.05,0.9,0,0,0,67.1,0,12.4,59
43511,97.5,111,473.9,7.678,46.351,45.972,19.60986,-12.45,-2.09,3.6,5.69,47.28,18.08,19.83,3.41,4.5,1095,31.3,2250.116667,1381946,8.78,8.78,8.78,96.893,23.85,20.24,55.71,75.95,3.1,10.6,33.7,20.62,4739.3,0,,,,14.695,3.315,0,0,0,94.8,0,8.84,0
43512,234.5,77.3,146.1,17.124,51.227,31.648,16.79039,-7.04,-1.52,3.07,4.59,55.19,13.43,10.55,1.64,13,1946,121.6,2101.15,1873813.667,12.73666667,6.37,0,97.354,19.49,24.18,55.41,79.58,2.6,57.7,17.6,28.9,4967.9,0,,,,3.655,1.025,0,0,0,0,0,0,0
43513,160,82.3,54.1,10.763,48.215,41.022,20.24242,-12.97,-1.38,2.3,3.68,50.95,16.47,17.5,2.8,12.16666667,903.2,38.2,1994.016667,2259832,7.936666667,3.97,0,95.104,18.05,24.14,57.75,81.89,4.9,51.9,17.7,19.05,270.4,0,,,,7.84,0.81,13.52,0,0,54.1,0,8.04,0
43514,301.8,94.7,824.6,13.947,51.504,34.517,19.15324,-6.7,-0.46,2.71,3.18,51.42,13.51,12.58,2.15,33.53333333,2200.9,123.2,2338.366667,6496381.333,9.353333333,1.866666667,2.48,96.749,22.8,22.57,54.44,77.02,3.3,35.8,26.6,27.57,3672,128.8,77.3,8.43,130.88,9.34,3.64,0,0,6.4,77.3,1.84,21.44,56
43531,296.3,102.5,659,11.552,50.808,37.628,22.4729,-6.92,-0.83,2.22,3.05,53.47,15.71,15.95,0.91,38.61666667,1444,52.1,2524.983333,3347511,15.32666667,5.106666667,1.915,97.165,16.36,18.29,65.07,83.36,2.8,18.5,25.7,22.63,516.9,0,,,,13.375,2.905,0,0,38.8,77.5,11.5,23,34.3
44201,1928.6,101.7,444.8,13.828,60.489,24.334,25.8932,0.85,0.07,3,2.93,58.2,11.89,9.74,7.92,49.43333333,3916.1,349.7,3058.766667,99015788,23.82666667,13.42333333,8.056666667,95.457,1.78,21.27,70.6,91.88,4.5,7.9,10.5,19.38,27.2,6.3,56.1,11.74,87.47,7.685,4.365,15.585,1.25,8.6,80.1,16.5,154.58,12.9
44202,2877.2,99.2,3000.7,10.968,56.403,31.317,29.24468,-2.59,-0.02,3.42,3.44,49.19,12.36,16.38,1.98,34.68333333,2216.6,159.8,2706.716667,24968331.33,37.25,20.725,12.31166667,94.231,1.14,12.35,78.94,91.29,5.8,22.6,18.5,19.98,65.5,16.4,51.5,18.18,82.24,9.265,6.925,11.87,1.64,18,100.7,50.8,282.08,18.3
44203,771.3,102.3,709.8,13.79,57.013,28.074,23.53299,-0.41,0.05,3.74,3.69,56.08,13.22,12.81,7.75,22.56666667,2719.3,174.4,2772.2,23465534.67,19.50833333,9.156666667,4.498333333,95.764,5.14,31.76,57.78,89.54,4.2,18.9,23.8,22.14,297.7,59.5,65.9,17.75,103.94,11.505,5.545,8.34,3.57,11.9,88.1,9.02,65.32,25.5
44204,590.5,100.3,348.8,12.717,53.775,32.333,21.27895,-6.23,-0.78,2.23,3.01,53.06,13.16,12.82,10.5,17.16666667,2108.2,114.8,2495.216667,21450957.33,15.73333333,10.49,4.373333333,96.017,10.04,25.02,63.57,88.59,4,8.4,8.1,24.83,345.7,15,69.5,17.22,113.31,13.085,6.44,9.02,2.255,21,84.2,12.4,47.28,32.5
44205,636.4,99.5,326.8,11.134,51.825,36.784,20.69653,-6.16,-0.6,2.02,2.62,58.15,16.5,16.21,14.24,13.06666667,2311.6,131.3,2573.083333,26015270.67,21.89833333,12.76,3.143333333,94.762,8.95,25.99,63.51,89.5,5.2,6.6,6.8,18.37,574.7,13.8,72.4,19.45,108.72,10.8,5.17,8.305,0,9.7,83.1,5.96,50.7,22.6
44206,461.7,94.8,580.7,11.131,51.102,37.726,21.90216,-6.56,-0.65,2.21,2.86,58.98,18.12,15.6,4.59,29.26666667,2226.4,127.2,2510.183333,11633933.67,15.23666667,6.451666667,2.346666667,95.218,9.26,28.08,62.2,90.28,4.8,30.5,21.8,21.02,193.6,51.6,79.9,18.26,113.18,10.365,4.065,9.03,2.58,10.3,85.2,4.74,38.04,20.5
44207,600,100.1,189.2,9.694,50.554,39.674,20.52628,-9.78,-1.3,2.09,3.38,61.45,18.84,17.64,1.25,37.7,2209.1,110,2768.75,5568579,33.36,20.015,3.333333333,94.81,7.78,27.56,63.3,90.86,5.2,24.4,25.1,17.86,55.7,55.7,77.7,20.15,108.56,11.91,5.425,11.13,0,5.6,94.6,3.3,56.74,28.1
44208,164.7,103.6,680.6,9.184,46.279,44.497,17.84885,-8.56,-1.05,2.45,3.5,51.35,19.91,19.07,7.53,29.53333333,2923.5,130.4,2402.916667,10106938,8.51,4.253333333,2.123333333,97.077,31.41,12.26,55.72,67.99,2.9,9.9,16.6,33.18,850.8,44.8,81.5,28.02,117.83,13.275,4.84,4.48,0,9,107.5,1.44,16.8,30.2
44209,264.6,100.8,1308.4,10.708,51.416,37.207,21.39024,-4.4,0,2.92,2.92,56.76,17.19,17.66,3.25,42.43333333,1917.8,103.7,2491.533333,8518757.333,12.56333333,6.856666667,1.14,95.868,15.59,27.55,54.82,82.37,4.1,24.3,28.2,21.18,612.6,43.8,75.9,20.67,114.72,11.77,4.525,10.94,0,8.8,70,2.3,18.32,23.5
